Reviewer	Participant	Group	Trial	Trial(coded)	1.Position	2.USplacement	3.Transducer	4.USSettings	5.Holdsprobe	6.USOrientation	7.IDTarget	8.NeedleAlign	9.Tipmaintain	10.Regaintip	11.Aspirate	12.Needletip	13.Intraneural	14.Aspiration	15.Needletip	16.Adjustments	17.InjectionPressure	18.Spread	TotalChecklistScore	Globalscore
2	9	c	Ret	blackdog	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	12	3
1	10	c	Post	WHITEGORILLA	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	17	4
2	10	c	Post	whitegorilla	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	17	4
1	10	c	Pre	YELLOWFROG	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	8	3
2	10	c	Pre	yellowfrog	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1	8	3
1	10	c	Ret	REDCAT	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	11	3
2	10	c	Ret	redcat	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	1	10	3
1	11	i	Post	BLACKFROG	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	15	3
2	11	i	Post	blackfrog	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	17	4
1	11	i	Pre	YELLOWDOG	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	1
2	11	i	Pre	yellowdog	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	4	1
1	11	i	Ret	SILVERGORILLA	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	13	3
2	11	i	Ret	silvergorilla	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	16	4
1	12	i	Post	GREENDOG	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	11	3
2	12	i	Post	greendog	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	17	5
1	12	i	Pre	BLUECAT	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	4	3
2	12	i	Pre	bluecat	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	5	2
1	12	i	Ret	ORANGEFROG	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	15	4
2	12	i	Ret	orangefrog	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	5
1	13	c	Post	GREENCAT	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	15	3
2	13	c	Post	greencat	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	5
1	13	c	Pre	PINKGORILLA	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	11	2
2	13	c	Pre	pinkgorilla	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	9	3
1	13	c	Ret	BLUEDOG	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	16	4
2	13	c	Ret	bluedog	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	16	4
1	14	c	Post	GREYGORILLA	1	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	10	2
2	14	c	Post	greygorilla	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	10	2
1	14	c	Pre	PURPLEFROG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	14	c	Pre	purplefrog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	14	c	Ret	YELLOWCAT	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	11	2
2	14	c	Ret	yellowcat	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	4	2
1	15	c	Post	WHITEFROG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	4
2	15	c	Post	whitefrog	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	17	4
1	15	c	Pre	REDDOG	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	8	2
2	15	c	Pre	reddog	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	13	3
1	15	c	Ret	REDBEAR	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	15	4
2	15	c	Ret	redbear	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	14	4
1	16	i	Post	GREYBIRD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	5
2	16	i	Post	greybird	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	5
1	16	i	Pre	BLACKLLAMA	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	8	2
2	16	i	Pre	blackllama	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	2
1	16	i	Ret	SILVERLION	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	15	4
2	16	i	Ret	silverlion	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	14	4
1	17	i	Post	ORANGELLAMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	17	4
2	17	i	Post	orangellama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	17	5
1	17	i	Pre	BLUEBEAR	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	4	2
2	17	i	Pre	bluebear	0	0	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	8	2
1	17	i	Ret	PINKBIRD	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	15	4
2	17	i	Ret	pinkbird	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	16	4
1	18	c	Post	GREENBEAR	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	13	3
2	18	c	Post	greenbear	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	15	4
1	18	c	Pre	PINKLION	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1
2	18	c	Pre	pinklion	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
1	18	c	Ret	PURPLELLAMA	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	8	2
2	18	c	Ret	purplellama	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	6	2
1	19	i	Post	GREYLION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	4
2	19	i	Post	greylion	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	5
1	19	i	Pre	SILVERBIRD	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1
2	19	i	Pre	silverbird	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1
1	19	i	Ret	YELLOWBEAR	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	15	3
2	19	i	Ret	yellowbear	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	12	3
1	20	c	Post	WHITEBIRD	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	13	3
2	20	c	Post	whitebird	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	15	3
1	20	c	Pre	WHITELLAMA	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1
2	20	c	Pre	whitellama	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
1	20	c	Ret	REDLION	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	1
2	20	c	Ret	redlion	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	5	1
1	21	i	Post	SILVERLLAMA	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16	4
2	21	i	Post	silverllama	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16	4
1	21	i	Pre	BLACKBEAR	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	11	3
2	21	i	Pre	blackbear	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	10	1
1	21	i	Ret	PURPLEBIRD	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	11	3
2	21	i	Ret	purplebird	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	11	3
1	22	c	Post	ORANGEBEAR	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	14	4
2	22	c	Post	orangebear	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	4
1	22	c	Pre	BLUELION	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	7	1
